Resource,Operation,Operation,Operation New,Resource v1,Description,Description New,Endpoint,Campos simplificados,Parámetros Nodo,Parámetros API,Ultima Actualización,Motivo Implementación,Comentarios Broobe,Comentarios Centum
Ventas,LISTAR,Pedidos Venta,GetConsulta,List_Summarized_Sales_Orders,Consigue pedidos de venta con una respuesta más ligera.,Devuelve los datos de pedidos de venta con detalle de totales en función de filtros varios.,/PedidosVenta/FiltrosPedidoVentaConsulta,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID de cliente, Fecha de inicio, Fecha de finalización, ID de estado, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; usa los mismos filtros principales que /PedidosVenta/FiltrosPedidoVenta pero devuelve una respuesta resumida.",,,,
Ventas,LISTAR,Pedidos Venta,GetAllEstados,List_Sales_Order_Statuses,Obtenga todos los estados de pedidos de venta disponibles.,Devuelve la lista completa de estados de pedidos de venta.,/EstadosPedidoVenta,,Sin parámetros de nodo específicos.,URL: idPedidoVenta requerido; bIncluirTodosEstados opcional.,,,,
Clientes,GET,Promociones Comerciales,Get (*******),Get_Customer_Commercial_Promotions,Obtén las promociones comerciales aplicadas a un cliente a partir de la fecha seleccionada.,Devuelve los datos de promociones comerciales en función de filtros varios.,/PromocionesComerciales/FiltrosPromocionComercial,"IdPromocionComercial, Codigo, Nombre, Descripcion, FechaDesde, FechaHasta, Activa","ID del cliente, día de la semana, fecha del documento, salida simplificada","Body: FechaDocumento, DiaSemana, IdsSucursal, IdsListaPrecio, IdsCliente, IdsClaseCliente y flags PromocionComercialSinSucursalesFisicasEspecificas, PromocionComercialSinListasPrecioEspecificas, PromocionComercialSinClientesEspecificos, PromocionComercialSinClasesClienteEspecificas y PromocionComercialSinValoresEspecificos.",,,,
Ventas,LISTAR,Promociones Comerciales,Get (*******),List_Commercial_Promotions,Obtén las promociones comerciales disponibles.,Devuelve los datos de promociones comerciales en función de filtros varios.,/PromocionesComerciales/FiltrosPromocionComercial,,Fecha del documento,"Body: FechaDocumento, DiaSemana, IdsSucursal, IdsListaPrecio, IdsCliente, IdsClaseCliente y flags PromocionComercialSinSucursalesFisicasEspecificas, PromocionComercialSinListasPrecioEspecificas, PromocionComercialSinClientesEspecificos, PromocionComercialSinClasesClienteEspecificas y PromocionComercialSinValoresEspecificos.",,,,
Proveedores,CREAR,Proveedores,Create,Create_Supplier,Cree un proveedor utilizando los datos proporcionados.,Crea un proveedor.,/Proveedores,,"Activo, Categoría de Impuesto sobre la Renta, Clase de Proveedor, Condición de Pago, ID de Condición de IVA, CUIT, Método de Pago del Proveedor, ID de Operador de Compra, ID de País, ID de Provincia, ID de Zona, ID de Descuento del Proveedor, Nombre de la Empresa, Código de Proveedor",Body: Proveedor.,,,,
Proveedores,LISTAR,Proveedores,Get,List_Suppliers,Obtenga una lista completa de proveedores,Devuelve los datos de proveedores en función de filtros varios.,/Proveedores,"IdProveedor, Codigo, RazonSocial, CUIT, Email, Telefono, Activo, Provincia.{IdProvincia,Nombre}, Pais.{IdPais,Nombre}, Zona.{IdZona,Nombre}","Activo, CUIT, Nombre de la empresa, Código de proveedor, Salida simplificada","URL: codigo, codigoDesde, codigoHasta, razonSocial, cuit, activo, numeroPagina y cantidadItemsPorPagina.",,,,
Proveedores,BUSCAR,Proveedores,GetOne,Search_Supplier,Información del proveedor de devolución basada en su ID,Devuelve los datos de un proveedor específico en función de su ID único.,/Proveedores/{id},,ID del proveedor,Path: {idProveedor} requerido.,,,,
Geografía,LISTAR,Provincias,Get,List_Provinces,"Obtén una lista de provincias, generalmente filtrada por país.",Devuelve una lista de provincias en funcion del ID específico de un país.,/Provincias,,Identificación del país,URL: idPais opcional.,,,,
Otros,GET,Regímenes Especiales,GetOne,Get_Special_Tax_Regime_By_ID,Obtenga un régimen fiscal especial mediante su documento de identidad.,Devuelve los datos de un regimen especial específico en función de su ID único.,/RegimenesEspeciales/{id},,IDENTIFICACIÓN,Path: {idRegimenEspecial} requerido.,,,,
Otros,LISTAR,Regímenes Especiales,GetAll,List_Special_Tax_Regimes,Obtenga la lista completa de regímenes fiscales especiales.,Devuelve la lista completa de regímenes especiales.,/RegimenesEspeciales,,Sin parámetros de nodo específicos.,"URL: numeroPagina, cantidadItemsPorPagina opcionales.",,,,
Compras,CREAR,Remitos Compra,Create,Create_Purchase_Delivery_Note,Cree un albarán de compra a partir de los parámetros proporcionados.,Crea un remito de compra a un proveedor específico.,/Clientes/{id} + /Articulos/Venta + /Proveedores/{id} + /RemitosCompra,,"Artículos, ID del cliente, Fecha del documento, Fecha de entrega, Fecha de vencimiento, ID de franja horaria de entrega, ID del conductor, Notas, ID de la sucursal física, Carta del documento de compra, Número de documento de compra, ID del proveedor, Punto de venta","Flujo: validar proveedor/cliente y artículos previos, luego POST /RemitosCompra | Cabecera opcional: CentumSuiteClientUser | Body: RemitoCompra.",,INAGRO,,
Ventas,CREAR,Remitos Venta,Create,Create_Sales_Delivery_Note,Cree un albarán de venta a partir de los parámetros proporcionados.,Crea un remito de venta a un cliente específico.,/Articulos/Venta + /Clientes/{id} + /RemitosVenta,,"Artículos, ID de cliente, Fecha del documento, Fecha de entrega, Fecha de envío, Fecha de publicación, ID de franja horaria de entrega, ID del conductor, ID del vendedor, ID de la sucursal física, Carta del documento de compra, Número de documento de compra, Punto de venta","Cabecera opcional: CentumSuiteClientUser | Body: Remito de Venta | Flujo recomendado: resolver cliente y artículos primero, luego crear el remito.",,,,
Articulos,LISTAR,Rubros,GetAll,List_Groups,Obtén la lista completa de grupos de artículos,Devuelve la lista completa de rubros de artículos.,/Rubros,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Articulos,LISTAR,SubRubros,GetAll,List_Subgroups,Obtén la lista completa de subgrupos de artículos o fíltralos por ID.,Devuelve la lista completa de subrubros pudiendo filtrar de manera opcional por ID's de rubros.,/SubRubros,,ID de grupo,URL: idRubro opcional; la documentación también contempla la variante para uno o más IDs de rubros.,,,,
Logística,LISTAR,Sucursales Físicas,GetAll,List_Physical_Branches,Obtén las sucursales físicas disponibles,Devuelve la lista completa de sucursales físicas.,/SucursalesFisicas,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Compras,LISTAR,Tipos Comprobante,GetAllCompras,List_Purchase_Vouchers,Obtén una lista de cupones de compra usando los filtros seleccionados.,Devuelve la lista completa de tipos de comprobantes utilizados en el circuito de compras.,/TiposComprobanteCompra,"IdTipoComprobanteCompra, IdTipoComprobante, Codigo, Nombre, Descripcion, Activo",Salida simplificada,Sin parámetros documentados.,,,,
Otros,LISTAR,Tipos Comprobante,GetAll,List_Voucher_Types,Obtén una lista de todos los tipos de cupones.,Devuelve la lista completa de tipos de comprobantes.,/TiposComprobante,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Ventas,LISTAR,Tipos Comprobante,GetAllVentas,List_Sales_Vouchers,Obtén una lista de cupones de venta utilizando los filtros seleccionados.,Devuelve la lista completa de tipos de comprobantes utilizados en el circuito de ventas.,/TiposComprobanteVenta,"IdTipoComprobanteVenta, IdTipoComprobante, Codigo, Nombre, Descripcion, Activo",Salida simplificada,Sin parámetros documentados.,,,,
Logística,LISTAR,Turnos Entrega,GetAll,List_Delivery_Time_Slots,Obtén la lista completa de franjas horarias de entrega disponibles.,Devuelve la lista completa de turnos de entrega de clientes.,/TurnosEntrega,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Articulos,LISTAR,Ubicaciones Articulos,GetAll,List_Article_Locations,Obtén la lista completa de ubicaciones de los artículos.,Devuelve la lista completa de ubicaciones de artículos dentro de una sección sucursal.,/UbicacionesArticulos,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
Logística,LISTAR,Vendedores,GetAll,List_Sellers,Obtén una lista de todos los vendedores disponibles.,Devuelve la lista completa de vendedores.,/Vendedores,,Sin parámetros de nodo específicos.,"URL: numeroPagina, cantidadItemsPorPagina opcionales.",,,,
Clientes,GET,Ventas,GetConsulta (******),Get_Sales_Invoices,Obtenga todas las facturas de venta del cliente seleccionado.,Devuelve los datos de comprobantes de venta con detalle de totales en función de filtros varios.,/Ventas/FiltrosVentaConsulta,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID de cliente, Fecha de inicio, Fecha de finalización, ID de tipo de comprobante, ID de cuenta corriente, ID de vendedor, ID de venta, Incluir pedidos cancelados, ID de canal de ventas, ID de división comercial, ID de usuario creado por, ID de transporte, ID de sucursal física, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina, incluirSuscriptos | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales idCliente, idVenta, idSucursal, idDivisionEmpresaGrupoEconomico, incluirAnulados, idUsuarioCreador, idTransporte, idTipoComprobante, idClienteCuentaCorriente, idVendedor, idCanalVenta, fechaCreacionDesde y fechaCreacionHasta.",,,,
Clientes,GET,Ventas,Get,Get_Sales_Invoices_By_ID,Obtenga todas las facturas de venta del cliente seleccionado por ID.,Devuelve los datos de comprobantes de venta en función de filtros varios.,/Ventas/FiltrosVenta,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","Fecha de inicio, Fecha de finalización, ID de venta, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina, incluirSuscriptos | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; idVenta es el filtro puntual más relevante; también admite idCliente, idSucursal, idDivisionEmpresaGrupoEconomico, incluirAnulados, idUsuarioCreador, idTransporte, idTipoComprobante, idClienteCuentaCorriente, idVendedor, idCanalVenta, fechaCreacionDesde y fechaCreacionHasta.",,,,
Ventas,CREAR,Ventas,Create,Create_Sale,Crea una venta a partir de los parámetros completados.,"Crea un comprobante de venta (factura de venta, nota de crédito de ventas, entre otros) a un cliente específico.",/Ventas,,"Artículos, Cantidad de pagos a plazos (solo venta al contado), ID de cliente, Condición de venta, Tipo de cambio (solo venta al contado), Venta al contado, Fecha de inicio, ID de descuento, ID de tipo de cupón, ID de vendedor, ID de valor en efectivo (solo venta al contado), Importe (solo venta al contado), ID de lista de precios, Notas (solo venta al contado), Punto de venta",Cabecera opcional: CentumSuiteClientUser | Body: Venta | Flujo recomendado por la documentación: /Articulos/Venta -> /Articulos/PrecioArticulo -> /Ventas/RegimenesEspeciales -> /Ventas/DescuentosPorPromocion -> /Ventas.,,,,
Ventas,GET,Ventas,GetEstadisticas,Get_Sales_Ranking,"Obtén una clasificación de clientes, artículos, vendedores o sucursales.","Devuelve información estadística de ventas por clientes, artículos, vendedores o sucursales fisicas en función de filtros varios.",/EstadisticaVentaRanking/{itemCount},"IdCliente, IdArticulo, Codigo, Nombre, Cantidad, ImporteTotal, Total, Cliente.{IdCliente,Codigo,RazonSocial}, Articulo.{IdArticulo,Codigo,Nombre}","Fecha de inicio, Fecha de finalización, Tipo de clasificación, Orden ascendente, Tipo de ordenación, ID de lista de precios, Cantidad de artículos, ID de grupo, Salida simplificada","Path: {CantidadArticulos} requerido | URL: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales idsCliente, idsClienteCuentaCorriente, idsCanalVenta, idsVendedor, idsSucursalFisica, idsListaPrecio, puntoVenta, idsBonificacionCliente, idsCondicionIVA, idsCondicionVenta, idsZona, idsLimiteCredito, idsTransporte, idsCategoria, idsClaseCliente, idsArticulo, idsProveedor, idsArticuloDescuento e idsRubro.",,,,
Ventas,BUSCAR,Ventas,GetConsulta (******),Search_Facturas_Venta,Obtenga todas las facturas de venta del cliente seleccionado.,Devuelve los datos de comprobantes de venta con detalle de totales en función de filtros varios.,/Ventas/FiltrosVentaConsulta,"IdVenta, IdPedidoVenta, IdPedido, IdCobro, IdCompra, IdOrdenCompra, IdComprobante, Codigo, Numero, NumeroDocumento, Fecha, FechaDocumento, FechaEntrega, Estado, ImporteNeto, ImporteIVA, ImporteTotal, Total, Saldo, SaldoPendiente, Cliente.{IdCliente,Codigo,RazonSocial,CUIT}, Proveedor.{IdProveedor,Codigo,RazonSocial,CUIT}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, Vendedor.{IdVendedor,Codigo,Nombre}, TipoComprobante.{IdTipoComprobante,Codigo,Nombre}, CanalVenta.{IdCanalVenta,Nombre}","ID de cliente, Fecha de inicio, Fecha de finalización, ID de tipo de comprobante, ID de cuenta corriente, ID de vendedor, ID de venta, Incluir pedidos cancelados, ID de canal de ventas, ID de división comercial, ID de usuario creado por, ID de transporte, ID de sucursal física, Salida simplificada","URL: numeroPagina, cantidadItemsPorPagina, incluirSuscriptos | Body: fechaDocumentoDesde y fechaDocumentoHasta requeridos; opcionales idCliente, idVenta, idSucursal, idDivisionEmpresaGrupoEconomico, incluirAnulados, idUsuarioCreador, idTransporte, idTipoComprobante, idClienteCuentaCorriente, idVendedor, idCanalVenta, fechaCreacionDesde y fechaCreacionHasta.",22/12/25,,,
